rtl_file,logic_depth,avg_fan_in,avg_fan_out,predicted_logic_depth,timing_violation
051_Truthtable1.v,1,0.0,0.0,1.4763647963323492,False
052_Mt2015 eq2.v,1,0.0,0.0,1.4763647963323492,False
054_.Mt2015 q4bv.v,1,0.0,0.0,1.4763647963323492,False
055_Mt2015 q4.v,1,0.0,0.0,1.4763647963323492,False
058_Popcount3.v,1,0.0,0.0,1.4763647963323492,False
059_Gates.v,1,0.0,0.0,1.4763647963323492,False
060_Gatesv100.v,1,0.0,0.0,1.4763647963323492,False
063_Mux9to1v.v,1,0.0,0.0,1.4763647963323492,False
068_Adder3.v,1,0.0,0.0,1.4763647963323492,False
069_m2014 q4j.v,1,0.0,0.0,1.4763647963323492,False
071_Adder100.v,1,0.0,0.0,1.4763647963323492,False
072_Bcdadd4.v,1,0.0,0.0,1.4763647963323492,False
082.dffs.v,1,0.0,0.0,1.4763647963323492,False
082_Dff8.v,1,0.0,0.0,1.4763647963323492,False
083.dff_with_reset.v,1,0.0,0.0,1.4763647963323492,False
083_Dff8r.v,1,0.0,0.0,1.4763647963323492,False
084.dff_with_reset_value.v,1,0.0,0.0,1.4763647963323492,False
084_Dff8p.v,1,0.0,0.0,1.4763647963323492,False
085.dff_with_areset.v,1,0.0,0.0,1.4763647963323492,False
085_Dff8ar.v,1,0.0,0.0,1.4763647963323492,False
086.dff_with_byte_enable.v,1,0.0,0.0,1.4763647963323492,False
086_Dff16e.v,1,0.0,0.0,1.4763647963323492,False
087.d-latch.v,1,0.0,0.0,1.4763647963323492,False
087_m2014 q4a.v,1,0.0,0.0,1.4763647963323492,False
088.DFF_1.v,1,0.0,0.0,1.4763647963323492,False
088_m2014 q4b.v,1,0.0,0.0,1.4763647963323492,False
089.DFF_2.v,1,0.0,0.0,1.4763647963323492,False
089_m2014 q4c.v,1,0.0,0.0,1.4763647963323492,False
090.dff+gate.v,1,0.0,0.0,1.4763647963323492,False
090_m2014 q4d.v,1,0.0,0.0,1.4763647963323492,False
092.mux_and_dff_2.v,1,0.0,0.0,1.4763647963323492,False
092_2014 q4a.v,1,0.0,0.0,1.4763647963323492,False
094.create_circuit_from_truth_table.v,1,0.0,0.0,1.4763647963323492,False
094_ece241 2013 q7.v,1,0.0,0.0,1.4763647963323492,False
095.detect_an_edge.v,1,0.0,0.0,1.4763647963323492,False
095_Edgedetect.v,1,0.0,0.0,1.4763647963323492,False
096.detect_both_edges.v,1,0.0,0.0,1.4763647963323492,False
096_Edgedetect2.v,1,0.0,0.0,1.4763647963323492,False
097.edge_capture_register.v,1,0.0,0.0,1.4763647963323492,False
099.4-bit_binary_counter.v,1,0.0,0.0,1.4763647963323492,False
099_Count15.v,1,0.0,0.0,1.4763647963323492,False
1.v,1,0.0,0.0,1.4763647963323492,False
